,,,,christmastree_unlocked_success,每项饰品都有多种样式可以选择，长按可以随时更改哦。,每項飾品都有多種樣式可以選擇，長按可以隨時更改哦。,Each decoration has a variety of styles to choose from. Press for a long time to change,Hay varios estilos para cada decoración. que se puede cambiar en cualquier momento con pulsación larga.,Каждое украшение можно изменять с помощью долгого нажатия.,Cada item de decoração tem uma variedade de estilos para escolher. Pode alterar a qualquer tempo caso mantenha pressionar o item.,Hier steht Schmuck in vielen Variationen zur Verfügung. Beim Tippen und Halten kann man es jede Zeit ändern.,"각 장식 오 길게 누르면 언제든지 변경할 수 있습니다, 선택할 수있는 다양한 스타일이있다.",装飾品を選ぶことができ、長押しすると変更可能！,Chaque ornement a de différents styles à choisir et on peut le changer en donnant des tapes longues.,Ogni articolo ha una varietà di stili che puoi scegliere. puoi cambiarlo ad ogni momento premendo a lungo.,لكل تزويق أنواع كثيرة للخيار، وممكن تعديله مع ضغط لمدة طويلة.,Herhangi bir öğenin arasından seçim yapmak için çeşitli stiller vardır. uzun basın değiştirilebilirsin!,Wah.indah banget!Tersedia bermacam-macam aksesoris bisa dipilih.pencet lama dapat ubah kapan saja.,,
抽奖转盘,,,,level_challenge,全三星通关等级%1$d解锁,全三星通關等級%1$d解鎖,Play all songs of Level%1$d to 3 stars to unlock,Desbloquear nivel%1$d con 3 estrellas,Три звезды позволят открыть Уровень%1$d,Libera quando passa o nível 1$d com 3 estrelas,Mit 3 Sternen kann man level%1$d freischalten,단계%1$d 3별 클리어하면 언락,全三ツ星ステージをクリアするとレベル%1$d解禁,Passer les niveaux à 3 étoiles pour débloquer le niveau%1$d,Sblocca livello%1$d passando tutto con 3 stelle,فتح مستوى %1$d بثلاث نجوم جميعا,Seviye%1$d Tam olarak 3 yıldız kilidi açın,Tamat dengan 3 bintang dibuka di level%1$d,,
,,,,turntable_title,幸运转盘,幸運轉盤,Wheel of Fortune,Plato giratorio suerte,Колесо удачи,Roda da fortuna,Glücksrad,행운의 룰렛,ラッキールーレット,Rotation,Ruota fortunata,القرص الدوار المحظوظ,Çarkıfelek,Wheel of Fortune,,
,,,,turntable_rule_title,转盘规则,轉盤規則,Turntable rules,Reglas del plato giratorio,Правила Колеса:,Regreas da Roda:,Regeln für Glücksrad:,룰렛 규칙,ルーレットルール,Principe de rotation,Regole di ruota,قواعد القرص الدوار,Kurallar:,Aturan Wheel,,
道具玩法,,,,props_shield,护盾,護盾,Shield,Escudo,Щит,Escudo  ,Schild,방패,シールド,Bouclier,Scudo,الدرع,Kalkan,Pelindung,,
,,,,props_sprint,冲刺,衝刺,Sprint ,Sprint,Спринт,Sprint,Endspurt,대시,ブースト,Rush,Sprint,التسريع,Sürat koşusu,Lari Cepat,,
,,,,props_slow,减速,減速,Slow down,Freno,Замедлитель,Desacelerar,Verlangsamen,감속,スローダウン,Décélération,Decelerazione,تخفيض السرعة,Yavaşla,Kurangi kecepatan,,
,,,,props_guide_sprint,本局免费体验冲刺道具1次,本局免費體驗衝刺道具1次,Experience sprint props 1 time for free,Probar el sprint gratis por una vez Al fallar el ataque en este partido.,Испытать реквизит Спринт 1 раз,Experimentar de graça o Sprint por uma vez Experimentar o,Schild einmal gratis probieren Nach dem,대시 무료하기 1회,ブースト１回無料体験,Rush gratuit 1 fois Echapper une tuile ?,1 volta di prova libera dei puntelli di sprint puntelli,تجريب أداة التسريع مرة واحدة مجانا تجريب,Sürat koşusu takımı bir kez ücretsiz deneyin,Gratis pakai tool Lari Cepat 1 kali,,
,,,,props_guide_shield,本局漏击后体验护盾1次,本局漏擊後體驗護盾1次,Experience shield 1 times after missing the hit,Probar el escudo gratis por una vez Al revivirse en este partido. ,бесплатно После проигрыша испытать Щит 1 раз,Escudo por uma vez quando perde uma tecla na presente partida,Fehlschlag Schild einmal probieren Nach dem,타일이 누락되면 방패 무료하기 1회,タップミス後ブースト１回無料体験,Bouclier gratuit 1 fois,1 volta  di prova di scudo dopo la dispersione,أداة الدرع مرة واحدة بعد لعبة تجريب,Kalkan bir kez deneyin,Rasakan setelah miss pencet di ronde ini,,
,,,,props_guide_slow,复活后体验减速道具1次,復活後體驗減速道具1次,Experience the deceleration props after resurrection ,Probar el freno por una vez,После возрождения игры испытать Замедлитель 1 раз,Experimentar o Desacelerar por uma vez depois de reviver nesta partida,Wiederbeleben Verlangsamen einmal probieren,부활 후 감속 무료하기 1회,復活後スローダウンを１回無料体験,Décélération gratuite 1 fois après résurrection,1 volta  di prova dei puntelli di decelerazione dopo la risurrezione,أداة تخفيض السرعة مرة واحدة بعد الإحياء تجريب,Canlandırdıktan sonra yavaşlama takımını bir kez deneyin,Kurangi kecepatan 1 kali setelah hidup kembali di ronde ini,,
,,,,props_guide_sprinttips,极速冲刺50个钢琴块,極速衝刺50個鋼琴塊,Sprint for 50 piano tiles,Alcanza a 50 teclas con gran velocidad,Быстро проскочить 50 плиток,Sprint 50 teclas na velocidade máxima,Endspurt in 50 Tasten,50개의 타일을 대시하게 됨,ブースト５０タイル,Rush de 50 tiles,Sprint 50 tiles,التايلزات الـ50 في أقصى سرعة,50 tuşlarında şürat koşusu başlatın,Lari ke 50 tuts piano dengan kecepatan tinggi.,,
,,,,props_guide_shieldtips,可抵消1次漏击操作,可抵消1次漏擊操作,Can make up one leakage.,Recuperar una falta de toque,Может восстановить 1 проигрыш,Pode ser compensado por um clique,Einen Fehlschlag ausgleichen,타일 누락 조작이 1회 없애게 됨,ミスを一回打ち消すことができる,Effacer un échec de taper,Può essere compensato da un'operazione di perdita,ممكن تعويض مرة من فشل الضغط,Bir eksik tıklama ile dengelenebilir,Bisa ganti rugi miss pencet 1 kali,,
,,,,props_guide_slowtips,复活后减速50个钢琴块,復活後減速50個鋼琴塊,The 50 piano tiles slowed down after the resurrection.,La velocidad de los 50 teclas al restaurar reduce ,После возрождения скорость 50 плиток станет медленней,A velocidade diminuirá nas teclas depois de reviver,Nach Wiederbeleben werden die ersten 50 Tasten langsamer sein,부활 후 50개의 타일의 속도가 감속하게 됨,復活後の５０個のタイルのスピードはダウン,50 tiles baissent  de vitesse après résurrection.,Dopo il risorgimento. 50 tiles rallentano il ,تنخفض سرعة التايلزات الـ50 الأولى بنسبة  بعد الإحياء,Canlanmasından sonra ilk 50 tuşlar yavaşlayacak.,Kurangi kecepatan 50 tuts sebelum hidup kembali,,
,,,,props_guide_rescue,免费体验复活箱1次,免費體驗復活卡1次,Use resurrection box 1 time for free,Porbar la tarjeta de revivencia gratis por una vez,Бесплатно испытать возрождение 1 раз,Experimentar de graça a Cartão de Reviver por uma vez,Wiederbeleben einmal gratis probieren,부활카드 무료하기 1회,復活宝箱１回無料体験,Résurrection gratuite 1 fois,1 volta  di prova libera della carta risurrezione,بطاقة الإحياء مرة واحدة مجانا,Kıyamet kartı 1 kez ücretsiz dene,Gratis rasakan kartu hidup kembali 1 kali,,
,,,,props_tips_title,立即补充道具？,立即補充道具？,Add props immediately?  ,¿Añadir utilería ahora mismo? ,Пополнить реквизит? ,Imediatamente colocar mais apoios do jogo?,Requisiten sofort ergänzen?,아이템 충전 할까요?,道具を補充しますか？,Commencer la partie avec les outils ?,Aggiungi immediatamente i puntelli,تزويد الأدوات؟,Şimdi takımı ekler misin?,Segera isi tools?,,
,,,,props_tips_sprint,本局游戏使用冲刺道具,本局遊戲使用衝刺道具,Use sprint props to start the game ,Empezar el juego con sprint,Начать игру со Спринтом Начать игру с ,Usar o Sprint para começar o jogo,Mit Endspurt spielen,대시를 가지고,ブーストを使ってスタート,Rush et commencer la partie,Comincia a giocare con i puntelli di sprint,استخدام أداة التسريع لبدء,Sürat koşusu takımıyla oyuna başla,Pakai tool Lari Cepat mulai game,,
,,,,props_tips_shield,本局游戏使用护盾道具,本局遊戲使用護盾道具,Use shield props to start the game,Empezar el juego con escudo,Щитом Начать игру с ,Usar o Escudo para começar o jogo,Mit Schild spielen,시작하기 방패를 가지고,シールドを使ってスタート,Bouclier et commencer la partie,Comincia a giocare con i puntelli di scudo,اللعبة استخدام أداة الدرع لبدء,Kalkan takımıyla oyuna başla,Pakai tool pelindung mulai game,,
,,,,props_tips_slow,本局游戏使用减速道具,本局遊戲使用減速道具,Use decelerating props to start the game,Empezar el juego reviviendo con freno,Возрождением и Замедлением,Usar o Reviver para começar o jogo,Mit Wiederbeleben spielen,시작하기 감속을 가지고 시작하기,スローダウンを使ってスタート,Décélération et commencer la partie,Comincia a giocare con i puntelli di decelerazione,اللعبة استخدام أداة تخفيض السرعة بعد الإحياء لبدء اللعبة,Yavaşlama takımıyla oyuna başla,Pakai tool Kurangi kecepatan mulai game,,
,,,,propsshop,道具商店,道具商店,Props store ,Tienda de utilería    ,Магазин реквизита,Loja dos Apoios,Requisiten Store,아이템 가게,ショップ,Magasin des outils,Negozi di puntelli,دكان الأدوات,Takımlar mağazası,Shop,,
,,,,propsshop_levelkey,音乐钥匙,音樂鑰匙,Music key,llave música,Музыкальный ключ,Chave de desafio,Herausforderungsschlüssel,뮤직 키,音楽の鍵,Clé de musique,La chiave musicale,مفتاح الموسيقى,Müzik anahtarı,Kunci musik,,
,,,,propsshop_rescue,复活箱,復活箱,Resurrection  box,Paquete de revivencia,Сундук возрождения,Caixa de Reviver,Wiederbeleben,부활상자,復活箱,Boîte de résurrection,La scatola di risurrezione,التحدي صندوق,Canlandırma kutusu,Box Hidup Kembali,,
,,,,propsshop_package,道具促销礼包,道具促銷禮包,Props promotional packs ,Paquete de promoción de utilería,Набор реквизита по акции,Pacote promocional dos apoios,Musikschlüssel,아이템 패키지,スペシャルパック,Solde des outils,Pacchetto scontato di puntelli,الإحياء حزمة الأدوات,Takım indirimli paketi,Paket Obral Tools,,
,,,,propsshop_package_title,更多道具敬请期待...,更多道具敬請期待...,More props to be expected ...,Más paquetes por venir,Новые реквизиты будут скоро...,Mais pacotes promocionais em breve...,Neue Pakete kommen sofort...,더 많은 패키지 기다리세요...,よりお得な情報をお届けします。,Plus de bonus arriveront...,Aspetta più pacchetti...,مزيد منلحزمات في الطريق,Lütfen daha fazla paketi bekleyin,Lebih banyak paket harap ditunggu,,
,,,,propsshop_package_tips,看视频，获得道具1个,觀看視頻，獲得道具1個,Watch the video to get 1 prop,Ver video para lograr una utilería,Просмотрите видео и получите 1 реквизит,Assistir vídeos para obter um apoio,Durchs Anschauen des Videos ein Requisit holen,동영상 시청하여 아이템 1개 획득,動画をチェックして、道具を獲得,Regarder la vidéo pour gagner 1 outils,Ricevi un puntello guardando video,...مشاهدة الفيديو لكسب أداة واحدة,Video izleyin bir takım alın,Tonton video.dapatkan tools 1 buah,,
,,,,props_slowrescue,立即减速？,立即減速？,Slow down resurrect?,Revivir con freno ahora?,Возродиться и замедлить ?,Desacelerar e imediatamente?,Sofort wiederbeleben?,즉시 감속 부활?,スローダウンを使って?,Décélération après résurrection?,Rallenta risurrezione?,استخدام تخفيض السرعة بعد الإحياء فور??,Hemen ve yavaşlat?,Kurangi kecepatan ?,,
